company,title,sentiment,relevance,confidence,published_at,source,url,reasoning
"Astra","GPT-6 Astra: A new generation of intelligence","neutral","irrelevant","0.80","2026-09-09T05:16:58.000Z","OpenAI","https://news.google.com/rss/articles/CBMiTkFVX3lxTE11QUxBUVJLdC1jSmtJbmcxQzg4Qm9yUlNPS3JEMEVBanIyY1FRT2k2R0hBTlNnX2VqcWpTSDJUMDV0TjBJN1VGamlrZzVPZw?oc=5","Astra is a space launch vehicle company, not related to AI"
"Wave","""iPhone and artificial intelligence""... financial markets are awaiting a new wave that may redraw the map of technology companies","neutral","irrelevant","0.80","2026-09-09T04:56:36.000Z","صوت الإمارات","https://news.google.com/rss/articles/CBMihwJBVV95cUxQX1B2MWd6WVBvYi1LbXlmTzgzVU51aEZubGItWW9CUm0tZXgxenZUeEJweFkzcVU2b1RTRlgxRklEUVdoMTY0WWI5YUdnSzFPWWdrUUl5OENyOF84VWhIQ0VuUjdoQnM3STRoNElTclNCbWZmQ2c4QndWUGFzQlJHeUQwdjVsTlpBMVlDdXlac29sVFhxM0F5RjZ5OWowMlk4WUswNktFYUlJXzNQeVhUV1RRZHZMbm5zM3EtSlU5YWZLZXZkSVgyQzFmTnZNN0pSSFYzNFVOLWM3bFhGc09ScmZkWjlma3BlV0tlYTcyMElUQ1ZIaE12YWlGRTVzVUhXdkVnVW9jRQ?oc=5","Article mentions a 'new wave' but does not specify the company Wave."
"Anthropic","Anthropic Alignment Lead Issues Warning About AI Killing Humans As Researcher Resigns","negative","relevant","0.90","2026-09-09T04:14:51.000Z","Forbes","https://news.google.com/rss/articles/CBMiyAFBVV95cUxNNGR3VGtaTUx1aGtucjctWGt6WG1FMzRMTVh1TVY5TGVIT2tYSldyaXplWEFGTUdaU0ZFbkVQbG5UVGZ5T2JnVi1rX2ZQRTQ3RHFzWms4WVA1czRmVmhRN09OX0lCR0dVSUxheDQ0T0RDQXYwQUZtS240dHJmaThUczY1SC11QXR4ZFB3Tjg1WFpfakwzRUNPbU9KVmREMEs5czB6NXRrWGNfWEVEdkdHdThlVFhES1RxdThCbGZNV0dEbnFHYjhfQg?oc=5","Warning about AI killing humans and a researcher resignation indicate a negative impact on the company's prospects."
"Guild","The Experimental College: the short-lived radical intellectual guild","neutral","irrelevant","0.80","2026-09-09T04:03:00.000Z","dailyprincetonian.com","https://news.google.com/rss/articles/CBMixwFBVV95cUxPYlVjTFR2RXdBRkxpZGJiSWF4YjNuYnpzdE0zbXFZZUFLbE5iQzhCQ2thendlbURXbHZJY3JhQ1hEQW8zVkdNaDRDWC1tOEwtak5ZVzdPcjIwcWVHTWd0a0pOUVlJMzVuQXJLTmRSbFZHLWhQZ0k5dUQ1NDQyejRNYlBaM21GLUNDOUI4TnVpSDl4OGMwd25ILWZJSURDMTZMVEtGcjhHTVVCdU9lRUJoTjB1YkVJWVJVTjlwSjI1bjlDeERVWVBJ?oc=5","Article appears to be about a historical college experiment, not the corporate education benefits company Guild"
"MST","Pilots applied full power seconds before Amazon cargo plane overran Miami runway, killing 5 in cleaning van, officials say","neutral","irrelevant","1.00","2026-09-09T03:10:45.000Z","KESQ","https://news.google.com/rss/articles/CBMijwJBVV95cUxOM001aW9WRG05bDV5THBOdFpmcnVJUVprcmd4aUhIblpoQmlaOE42RkFtQ0drdzRDZW4zU3dCOG0waTRMMXRZRFM1UVA5aFI4ZjdIX3IzQlJVS3RTNUdyU2VEbGVCaHMwdnBOUS0xLUFnRFJEc2NOOVRKRVh5eTNkLXJRWkl5d2pvaGg4RVg0XzhYdXpISDNNb2ZGMFRxYXhkZ3h0cDYwN3dqTExpZ3luM3ROenl5VThTTVludnlMOVJLM3F6RmdmSlNheVh5OF9MV2JqUlh5Y0VuMDZJcGV2c0dRRnA1YjAzY0NCZGZkU3k5blhLMWhFVS1rQUpDS2hnVGZjemQxc21YbFIxRXg0?oc=5","Article is about an Amazon cargo plane accident, not MST"
"Overtime","Wilton outlasts defending CIAC Class M field hockey champion Branford in OT behind Casey O’Connor","neutral","irrelevant","0.80","2026-09-09T03:01:50.000Z","Norwalk Hour","https://news.google.com/rss/articles/CBMipwFBVV95cUxQTlU0MWIxa3BzdFJDWDRMMjhLemF1Mm9MQjBqVk94UjRkbjRfODFFT0xpbVphNGNLNmZvWG10bHpuZlp4UmZwTGRJMWFoSDZobEZOZHpwbE81ODhHY0JqZ2ZNUFNlWDlXanZIVzdsYzhwTXJvQ0pueWRRRlgtSlJrT2k5eEtCVjlGbXFQVlN5bjY4WlNQWTNoNXBGc1kzaUZsV2lJcW1lUQ?oc=5","Article is about a sports event, not the company Overtime"
"Databricks","Evaluation-First AI Agents: How Zepto Scales Customer Support on Databricks and MLflow","positive","relevant","0.90","2026-09-09T02:53:54.000Z","Databricks","https://news.google.com/rss/articles/CBMitAFBVV95cUxNVkhMVEpndTg4Ul9wOS1nLVd5eDVtMjk4alJXSnAycm9qazYwUTdJdklRaXprZzNTbWxuaWprSnRjd3BKY01JamRQeGsxMkJmSjlNNk1xY1BVUy1JSmdrUHktMDhJMUduaE1BWF9Mb0dEWFBWU1lRMGlzc19Cb1h1eG9kN3EzUUpHWTMzdnVMbFJZOFNmUTdvU241WXU1ZmoycGdfYkxCNWhObU9GMnU4dTQtbVE?oc=5","Zepto uses Databricks and MLflow for customer support, highlighting their success"
"EquipmentShare","EquipmentShare.com Inc. Notice of September 21, 2026","neutral","relevant","0.80","2026-09-09T02:47:00.000Z","GlobeNewswire","https://news.google.com/rss/articles/CBMi3wJBVV95cUxQT2hoRTlNbkJDUGJISW43MElQQjkzanpCeDhzUklMZ1lJZk8xVmhYZURlZnVYUDFxYXU3VUZ4S3o3NkhyRTRNUFpFZlpHMi1tYzR6Yjh2WVdXSmhickVPNkN4ZEM0ck82aVltaG5XUzVJLVNEdUlyZU1MTFZ0dkphdk1POGZLQXdFMmxaQXNoV3FsakxJaEVjRzBqeW5BY2dmZGd0SmxoSmxrSzFkUzQ5TFRGZEZIbFZCZnZyc0s2RlZaTF94WWU4SDFidmJNVmRSaE9SaWJpNXpDQWdOVE5WM1lUaENmcS1CU2NXa0NvWi1LcHZYVXlNLV82NWlubHE4M1hRRy1EMW4yMzFoUV9raFhYYldDQXVpQ2JESTNuZVZ2ZmZEaVc0T2xlWG1jQjJmLUhMUHlwNEhKUkVMa2ptX09oSmw2YVNkQjduUVZqU1JqWFRVWWNhX3V3bHk2MEE?oc=5","Routine announcement with no clear upside or downside."
"Stoke Space","Stoke Space Raises $1B, Hits $10B Value in Kent, WA","positive","relevant","0.90","2026-09-09T02:35:28.000Z","Hoodline","https://news.google.com/rss/articles/CBMiqAFBVV95cUxPQlIzRHpOb0wyM05TVVlueXNXTHdMZ2dRNFBLaUk2UVZXMzR0NlNlQ0Z6cGVYQWxkV0lnWWdQZWRTdFR5SGJWX0VPUE0wWTdpVnJhWm9ORkhreFFZUUY0VTlnLWtJZDRmTndqaEhfZ0NaWFVaOWVjWG5Sc2lBdFlnMmRYd2t5NVZHZS1OZG81ZUt0aUwycFRiQnFiZmVhUWFkSnloSFRld3Q?oc=5","Funding round and valuation milestone for Stoke Space"
"Stoke Space","US rocket startup Stoke Space raises $1b in series E","positive","relevant","0.90","2026-09-09T02:13:00.000Z","Tech in Asia","https://news.google.com/rss/articles/CBMigAFBVV95cUxQcF9wc2llRXp4ZzZNR3JhNGFSNUdtOXhoNFM0TnFjSUs2U3NxUGxvSmpzLXpUbC1nNVlFQUNobkt5UWJEVVFFYVMzOUFybnhoeDBTV3JBa2JUelRUbFp4bzN2cmFDVG41M2daYW5GdUFiSEJESF9fV0h3aUNXUTBfcA?oc=5","Funding round reported, indicating successful business prospects"
